targetID;targetName
TTDI01511;Ros1 tyrosine kinase receptor
TTDI01512;RPL15 gene
TTDI01513;ID DNA-binding protein inhibitor
TTDI01514;Lung surfactant associated protein D
TTDI01515;STAT
TTDI01516;CHST15 gene
TTDI01517;TAP1 gene
TTDI01518;Annexin
TTDI01519;NFKB gene
TTDI01520;Leukocyte Ig-like receptor-3
TTDI01521;Leukocyte Ig-like receptor-5
TTDI01522;Toxic shock syndrome toxin 1
TTDI01523;Immunoglobulin gamma Fc receptor IIA
TTDI01524;Eukaryotic initiation 2 alpha kinase 2
TTDI01525;esaT6 gene
TTDI01526;Tyk2 tyrosine kinase
TTDI01527;P2X purinoceptor
TTDI01528;CACNA1H calcium channel subunit
TTDI01529;Wnk protein kinase
TTDI01530;Wnk 1 protein kinase
TTDI01531;WNT gene
TTDI01532;Heparan sulfate 6 O-sulfotransferase
TTDI01533;SLC6A gene
TTDI01535;Regulatory protein gene
TTDI01536;NADPH oxidase gene
TTDI01537;Cyclic nucleotide
TTDI01541;ERK pathway
TTDI01542;JNK pathway
TTDI01543;Cyclin D1/E2F pathway
TTDI01544;Energy metabolism pathway
TTDI01545;NF-kB pathway
TTDI01546;Pleiotropic pathway
TTDI01547;Hedgehog pathway
TTDI01548;Wnt pathway
TTDI01549;Wnt signalling pathway
TTDI01550;Akt-mToR pathway
TTDI01551;signal transduction pathway
TTDI01552;Virus capside protein
TTDI01553;Wnt ligand
TTDI01554;Immune checkpoint
TTDI01555;Leukotriene receptor
TTDI01556;Mucin
TTDI01557;Class B GPCR
TTDI01558;Urate transporter
TTDI01559;Cytokine receptor
TTDI01560;Protein tyrosine kinase
TTDI01561;Unspecified enzyme
TTDI01562;Sodium, potassium transport
TTDI01563;Purinoceptor
TTDI01564;Protein prenyltransferase
TTDI01565;Matrix metalloprotease
TTDI01566;Actin polymerization
TTDI01567;Interferon receptor
TTDI01568;ATPase
TTDI01569;Endonuclease
TTDI01570;Phosphodiesterase (PDE)
TTDI01571;Chloride channel
TTDI01572;Ribonuclease P
TTDI01574;FK506 binding protein
TTDI01575;HCMV terminase
TTDI01576;HCV replication enzyme
TTDI01577;Isomerase
TTDI01578;Transferase
TTDI01579;Unspecified protein kinase
TTDI01580;Polymorphonuclear neutrophil adhesion
TTDI01581;Cell adhesion molecule
TTDI01582;Ionotropic glutamate receptor
TTDI01583;Thiol group of protein
TTDI01584;Polymerase
TTDI01585;MAP kinase
TTDI01586;Bacterial enoyl-acyl carrier reductase (PfENR)
TTDI01587;Unspecified receptor
TTDI01588;Peptidyltransferase
TTDI01589;Unspecified GPCR
TTDI01590;Hydrolase
TTDI01591;Prostanoid receptor
TTDI01592;Peptidase
TTDI01593;Lyase
TTDI01595;Herpesvirus DNA polymerase
TTDI01596;Intracellular reductase
TTDI01597;Lipoxygenase
TTDI01598;Neutrophil
TTDI01599;Polyamine
TTDI01600;Nuclear receptor
TTDI01601;AdoHcy hydrolase
TTDI01602;Gap junction protein
TTDI01603;Glucosidase
TTDI01604;Rhinovirus protein 1
TTDI01605;NADPH oxidase
TTDI01606;Nucleoside transporter
TTDI01607;Rhinovirus capsid protein
TTDI01608;Vesicular monoamine transporter
TTDI01609;Cholesterol transporter
TTDI01610;IgE-regulated calcium channels
TTDI01611;Prostaglandin synthetase
TTDI01612;Ion channel
TTDI01613;Splicing factor
TTDI01614;Aminotransferase
TTDI01615;Plasma protein
TTDI01616;Fungal enzyme
TTDI01617;Chemokine ligand
TTDI01618;Voltage-dependent calcium channel
TTDI01619;Transcription factor
TTDI01621;Retinal isomerase
TTDI01622;58-kDa acetaminophen binding protein
TTDI01623;Bacterial ribosome
TTDI01625;Methyltransferase
TTDI01626;Lysosphingolipid receptor
TTDI01627;Rhinovirus capsid
TTDI01628;DNA-directed DNA polymerase
TTDI01629;Enzyme
TTDI01630;DNA RNA polymerase
TTDI01631;Neuropeptide recptor
TTDI01632;Ribonuclease
TTDI01633;Immunoglobulin Fc receptor
TTDI01634;T cell receptor
TTDI01635;Aminopeptidase
TTDI01638;Outer membrane protein
TTDI01639;Hydroxylase
TTDI01640;Hematopoietic cell phosphatase
TTDI01641;Cytochrome P450 3
TTDI01643;HLA antigen
TTDI01644;T-cell receptor
TTDI01645;HRV 3C protease
TTDI01646;LPS receptor
TTDI01647;Major histocompatibility complex
TTDI01649;HLA class II antigen
TTDI01650;Receptor
TTDI01652;Bone morphogenetic protein ligand
TTDI01653;Regulatory protein
TTDI01654;NAD-dehydrogenase
TTDI01655;HPV antigens
TTDI01656;Surface antigen preferentially overexpressed on multiple myeloma (MM) cells
TTDI01657;Zinc-finger proteins (ZFP)
TTDI01658;G-protein-coupled receptor
TTDI01660;Antigens on activated T-cells
TTDI01661;Capsid-SP1 cleavage site in HIV Gag protein
TTDI01662;Sodium calcium channel
TTDI01663;Synthetic multi-antigen DNA
TTDI01664;Interferon ligand
TTDI01665;Nucleoside DNA polymerase
TTDI01666;Ubiquitin-activating enzyme
TTDI01667;Humanized IgG2
TTDI01668;Immunoglobulin G1 (IgG1)
TTDI01669;Fibrolase
TTDI01670;Helicase-primase
TTDI01671;Unspecified protease
TTDI01672;Unspecified hormone
TTDI01673;17-beta-hydroxysteroid dehydrogenase
TTDI01674;Esterase
TTDI01675;Glycosidase
TTDI01676;Viral envelope glycoprotein
TTDI01677;Carbohydrate antigen Lewis Y
TTDI01678;Phosphatase
TTDI01679;Nuclear hormone receptor
TTDI01680;24-hydroxylase
TTDI01681;Serum protein
TTDI01682;Proteoglycanase
TTDI01683;Tuftsin receptor
TTDI01684;Oxalate oxidase
TTDI01685;Anthrax toxin
TTDI01686;Inhibitor of apoptosis (IAP)
TTDI01687;Motoneuronotrophic factor
TTDI01688;Tumor-associated peptide
TTDI01690;Allergen
TTDI01691;Phosphoric diester hydrolase
TTDI01692;Deoxyribonuclease
TTDI01693;IgG2a
TTDI01694;Pseudomonas outer membrane protein
TTDI01695;Major pollen antigen
TTDI01696;Protein of eimeria protozoan
TTDI01697;Sphingomyelinase
TTDI01698;T-cell ligand
TTDI01699;Thymulin
TTDI01701;Endopeptidase
TTDI01702;Major pollen allergen Bet-v-1
TTDI01703;Birch pollen allergen
TTDI01705;Pancreatic beta cell growth factor
TTDI01706;Galactosyltransferase
TTDI01707;Telomere
TTDI01708;ATP binding cassette
TTDI01709;Transporter
TTDI01710;p40
TTDI01713;Thrombospondin relate anonymous protein
TTDI01714;Bothrops atrox serine protease
TTDI01715;Mite allergen
TTDI01716;Inducing anti-tumor immune responses by human lymphocyte
TTDI01717;L-type calcium channel
TTDI01718;Hepatitis B structural protein
TTDI01719;Grass pollen allergen
TTDI01720;Antigens of many solid tumor types
TTDI01723;GDF
TTDI01724;Interleukin receptor
TTDI01725;Unspecified transcription factor
TTDI01726;Laminin
TTDI01727;Unspecified transporter protein
TTDI01728;Mas-related G-protein coupled receptor
TTDI01729;Aspartic protease
TTDI01730;EPH family tyrosine kinase
TTDI01731;rhIgG1k
TTDI01732;Transaminase
TTDI01733;Immunoglobulin gamma Fc receptor
TTDI01734;Alpha-secretase
TTDI01735;Nuclease
TTDI01736;Unspecified cell adhesion molecule
TTDI01737;Unspecified regulatory protein
TTDI01738;Viral protein
TTDI01739;Zinc finger protein transcription factor
TTDI01740;Fibroblast growth factor
TTDI01741;Folate binding protein-E39
TTDI01742;Bacteria topoisomerase
TTDI01743;5-HT 2 receptor
TTDI01746;Interleukin-12 ligand
TTDI01747;VEGF ligand
TTDI01748;JAK tyrosine kinase
TTDI01749;Muscarinic receptor
TTDI01750;Alpha 2 adrenoceptor
TTDI01751;Angiotensin II receptor
TTDI01752;Nicotinic ACh receptor
TTDI01753;Acetyl CoA carboxylase
TTDI01754;Plasminogen activator inhibitor
TTDI01755;Acetylcholine receptor
TTDI01756;Beta adrenoceptor
TTDI01757;Sodium hydrogen exchanger
TTDI01758;Na+ K+ ATPase
TTDI01759;NK receptor
TTDI01760;Gelatinase
TTDI01761;Phospholipase C
TTDI01762;Alpha 1 adrenoceptor
TTDI01763;ACTH releasing factor receptor
TTDI01764;Alpha adrenoceptor
TTDI01765;Fibrinogen
TTDI01766;Melatonin receptor
TTDI01767;Ras GTPase
TTDI01768;Integrin alpha-5/beta-1
TTDI01769;Bradykinin receptor
TTDI01770;Nitric oxide synthase
TTDI01771;Inosine monophosphate dehydrogenase
TTDI01772;CC chemokine receptor
TTDI01773;Selectin
TTDI01774;GABA A receptor
TTDI01775;MEK protein kinase
TTDI01776;Phosphodiesterase (PDE) 7
TTDI01777;Aurora protein kinase
TTDI01778;Bombesin receptor
TTDI01779;Notch receptor
TTDI01780;VEGF receptor
TTDI01781;Integrin alpha-V/beta-5
TTDI01782;Sarco/endoplasmic reticulum Ca2+-ATPase (SERCA)
TTDI01783;Luteinizing hormone-releasing hormone
TTDI01784;Adenosine A2 receptor
TTDI01785;Leukotriene B4 receptor
TTDI01786;Integrin alpha-2/beta-1
TTDI01789;Integrin alpha-5/beta-3
TTDI01790;Integrin alpha-V/beta-1
TTDI01791;KCNQ voltage-gated potassium channel
TTDI01792;Tryptophan 5-hydroxylase
TTDI01793;Heme oxygenase
TTDI01794;PIM protein kinase
TTDI01795;Integrin alpha-5/beta-5
TTDI01796;Interleukin-17 ligand
TTDI01797;Integrin alpha-4/beta-1
TTDI01798;Tankyrase
TTDI01799;Interferon alpha ligand
TTDI01800;Interleukin-3 receptor
TTDI01801;Cyclin D
TTDI01802;Estrogen related receptor
TTDI01803;Galanin receptor
TTDI01804;CXCR chemokine
TTDI01805;Integrin alpha-1/beta-1
TTDI01806;Orexin receptor
TTDI01807;Trk receptor
TTDI01808;Interleukin-23 ligand
TTDI01809;Integrin alpha-1/beta-3
TTDI01810;Tumor suppressor candidate
TTDI01811;Na-K-Cl symporter
TTDI01817;Bone morphogenetic protein receptor
TTDI01818;Relaxin receptor
TTDI01819;Natriuretic peptide receptor
TTDI01820;Aggrecanase
TTDI01821;Amiloride sensitive sodium channel
TTDI01822;ATP synthase
TTDI01823;Bacteria ATP synthase
TTDI01824;Guanylate cyclase receptor
TTDI01825;Histone acetyltransferase
TTDI01826;Alkaline phosphatase
TTDI01827;TRAIL receptor
TTDI01828;Troponin I
TTDI01832;The activation of 3 monoaminergic neural systems (serotonin, norepinephrine, and dopamine)
TTDI01836;Meningococcal group b
TTDI01843;TNF alpha production
TTDI01844;Brain concentrations of gamma-aminobutyric acid (GABA)
TTDI01846;Reduction of cumulative renal toxicity of cisplatin and toxic effects of radiation on normal oral tissues
TTDI01849;Facilitating dopamine (DA) release, inhibiting monoamine oxidase type B (MAO-B) and DA (re) up-take and stimulating aromatic L-amino acid decarboxylase (AADC)
TTDI01851;Expression of STAT-3
TTDI01853;Tromboxane A2 synthesis
TTDI01856;Synthesis of T(H2) cytokines
TTDI01858;Lymphoid cell
TTDI01859;Wnt/beta-catenin signaling pathway
TTDI01863;H5N1 pandemic influenza virus
TTDI01869;Colony stimulating factor ligand
TTDI01872;CD15
TTDI01874;Subcutaneous fluid administration for achieving hydration
TTDI01875;Bacteria clostridium tetani
TTDI01876;Bacteria corynebacterium diphtheriae
TTDI01879;Acetylcholine release inhibitor and neuromuscular blockor
TTDI01885;Deamidation of asparagine
TTDI01893;Proteins on the surface of ulcers including albumin and fibrinogen to form stable insoluble complexes
TTDI01895;Fructose
TTDI01898;Glucosaminylmuramyl dipeptide
TTDI01899;Oxidoreductase
TTDI01900;Immunoglobulin
TTDI01901;HBV immunoglobulin
TTDI01904;CD80
TTDI01905;Protein kinase C epsilon
TTDI01906;Trace amine-associated receptor-1
TTDI01907;Androgen receptor
TTDI01908;GCSF receptor
TTDI01909;GABA A receptor delta subunit
TTDI01910;Iron
TTDI01911;Human DNA
TTDI01912;Bacterial cell membrane
TTDI01913;Bacterial penicillin binding protein
TTDI01914;Bacterial DNA gyrase
TTDI01915;Bacteria 50S ribosomal subunit
TTDI01916;Leukotriene CysLT2 receptor
TTDI01917;Erythropoietin ligand
TTDI01918;Folate receptor alpha
TTDI01919;Respiratory syncytial virus protein F
TTDI01920;HIV GAG protein
TTDI01921;Interferon alpha 2 ligand
TTDI01922;Interferon beta ligand
TTDI01923;Tubulin receptor
TTDI01924;HIV envelope glycoprotein gp120
TTDI01925;Hepatitis C virus serine protease NS3
TTDI01926;Hepatitis C virus NS5B polymerase
TTDI01927;Hepatitis C virus protease
TTDI01928;Leishmania donovani DNA topoisomerase I
TTDI01929;Schistosoma mansoni purine nucleoside phosphorylase
TTDI01930;Bacterial 30S ribosomal subunit
TTDI01931;AP1 transcription factor
TTDI01932;CD86
TTDI01933;ICAM-1
TTDI01934;Protein tyrosine phosphatase-1B
TTDI01935;Interleukin-1 alpha ligand
TTDI01936;Carnitine acyltransferase
TTDI01937;Phosphodiesterase (PDE) 1
TTDI01938;Immunoglobulin gamma Fc receptor III
TTDI01939;Coagulation factor XIII
TTDI01940;Endostatin
TTDI01941;Diacylglycerol O acyltransferase 1
TTDI01942;Fungal 1,3-beta-glucan synthase
TTDI01943;Cytochrome P450 reductase
TTDI01944;Parathyroid hormone ligand
TTDI01945;Microtubule-associated protein tau
TTDI01946;Chymotrypsin
TTDI01947;Amylin receptor
TTDI01948;Deoxycytidine kinase
TTDI01949;Protein kinase C iota
TTDI01950;Protein kinase C theta
TTDI01951;Phosphodiesterase (PDE) 7A
TTDI01952;Phosphodiesterase (PDE) 7B
TTDI01953;Immunoglobulin G
TTDI01954;E3 ubiquitin protein ligase COP1
TTDI01955;Streptokinase
TTDI01956;Histone deacetylase-3
TTDI01957;T-cell surface glycoprotein CD8
TTDI01958;Fungal aureus leucyl-tRNA synthetase
TTDI01959;HIV env
TTDI01960;Collagen I
TTDI01961;Fibroblast growth factor-4
TTDI01963;Phenylalanine hydroxylase
TTDI01964;Coagulation factor XI
TTDI01965;GABA B receptor subunit 2
TTDI01966;Nuclear factor kappa B p105 subunit
TTDI01967;Perlecan
TTDI01969;Tryptophan 5-hydroxylase-1
TTDI01971;Potassium channel KCa1.1
TTDI01972;DNA topoisomerase II alpha
TTDI01973;Interleukin-10 receptor
TTDI01975;Glutamate receptor 4
TTDI01976;Phosphate
TTDI01978;Fungal cell membrane
TTDI01980;Calcium activated potassium KCNMA1 (maxiK) channel
TTDI01981;Maxi K potassium channel
TTDI01982;Asparaginase
TTDI01983;Bone morphogenetic protein-2 ligand
TTDI01984;Varicella-zoster virus DNA polymerase
TTDI01985;Duffy antigen chemokine receptor
TTDI01986;Epidermal growth factor ligand
TTDI01987;Endoplasmin
TTDI01988;Hepatitis B large envelope protein
TTDI01989;Hyaluronic acid receptor
TTDI01990;Pattern recognition receptor NOD2
TTDI01991;Prolyl 4-hydroxylase subunit alpha-1
TTDI01992;Blood group Rh(D) polypeptide
TTDI01993;Kit ligand
TTDI01994;Bifunctional aminoacyl tRNA synthetase
TTDI01996;Bacterial 23S RNA of 50S ribosomal subunit
TTDI01997;Influenza matrix protein 2
TTDI01999;Botulinum toxin A
TTDI02000;Positive transcription elongation factor B (P-TEFb)
TTDI02001;GDNF receptor
TTDI02002;Glutaminase
TTDI02003;Hyperpolarization-activated cyclic nucleotide-gated (HCN) channel
TTDI02005;Neural cell adhesion molecule
TTDI02006;Sphingomyelin synthase
TTDI02007;Uridine phosphorylase
TTDI02008;CaM kinase II
TTDI02010;HLA class II antigen DR10
TTDI02011;Solute carrier family 3 member 2
TTDI02012;NADH or NADPH oxidoreductase
TTDI02013;Aryl hydrocarbon receptor
TTDI02014;Cytosine deaminase
TTDI02015;AKT2 protein kinase
TTDI02016;AKT3 protein kinase
TTDI02017;Plasmodium apical membrane protein
TTDI02018;C-type natriuretic peptide ligand
TTDI02019;Annexin A5
TTDI02020;Apolipoprotein A-I
TTDI02021;Arylsulfatase A
TTDI02023;Serine threonine protein kinase ATR
TTDI02024;Apoptosis regulator Bcl-X
TTDI02025;Inhibitor of apoptosis protein 2
TTDI02026;Inhibitor of apoptosis protein 1
TTDI02028;Bactericidal permeability-increasing protein
TTDI02030;Bromodomain-containing protein 2
TTDI02031;Bromodomain-containing protein 3
TTDI02032;Bromodomain-containing protein 4
TTDI02033;Bromodomain testis-specific protein
TTDI02034;Cadherin-3
TTDI02035;Catalase
TTDI02036;Eotaxin ligand
TTDI02037;RANTES ligand
TTDI02038;CD34
TTDI02040;Cytidine deaminase
TTDI02041;Cyclin-dependent kinase-3
TTDI02042;Complement Factor H
TTDI02043;Mitochondrial 10 kDa heat shock protein
TTDI02044;Candida albicans chitin synthase 3
TTDI02045;Claudin 18
TTDI02046;Cytochrome P450 24
TTDI02047;Cholesterol 24-hydroxylase
TTDI02048;Thymic stromal lymphoprotein receptor
TTDI02049;Connective tissue growth factor ligand
TTDI02050;CD55
TTDI02051;Retinoic acid-inducible gene-1 (RIG-1)
TTDI02052;Beta defensin 2
TTDI02053;Dystrophin
TTDI02054;Dopamine beta hydroxylase
TTDI02055;HLA class II antigen DQ-2 alpha
TTDI02056;E2F transcription factor 1
TTDI02057;Cholestenol delta-isomerase
TTDI02058;Bacterial elongation factor Tu
TTDI02059;EGR-1 transcription factor
TTDI02061;Epha3 tyrosine kinase receptor
TTDI02062;Epiregulin (EREG)
TTDI02063;Enhancer of zeste homolog 2
TTDI02064;Major envelope protein p37
TTDI02065;PFKFB3 kinase
TTDI02066;Escherichia coli NADH-dependent enoyl-ACP reductase
TTDI02067;Staphylococcus aureus Enoyl ACP reductase
TTDI02068;Fc-epsilon-RII (CD23)
TTDI02069;Free fatty acid receptor 2
TTDI02070;FGF-18 ligand
TTDI02071;FGF-21 ligand
TTDI02074;Galactoside 3(4)-L-fucosyltransferase
TTDI02075;Frizzled-7 receptor
TTDI02076;Gastrin
TTDI02077;Human cytomegalovirus glycoprotein B
TTDI02078;Growth differentiation factor-5
TTDI02079;Gelsolin
TTDI02080;N-acetylmannosamine kinase
TTDI02081;Glioma pathogenesis-related protein 1
TTDI02082;Glutamate decarboxylase
TTDI02083;CD42b
TTDI02084;Glypican-3
TTDI02085;Platelet glycoprotein VI
TTDI02086;Mortalin
TTDI02087;78 kDa glucose-regulated protein
TTDI02088;Glutathione S-transferase P
TTDI02089;Histone H1.3
TTDI02090;Hepcidin
TTDI02091;CD74
TTDI02092;Staphylococcus aureus alpha hemolysin
TTDI02093;Interleukin-15 receptor subunit alpha
TTDI02094;Isocitrate dehydrogenase [NADP] cytoplasmic
TTDI02095;Isocitrate dehydrogenase (IDH2)
TTDI02096;Interferon alpha 5 ligand
TTDI02097;Interferon omega ligand
TTDI02098;Kappa myeloma antigen (KMA)
TTDI02099;Interleukin-21 receptor
TTDI02100;Interleukin-31 ligand
TTDI02101;Interleukin-33
TTDI02103;Staphylococcus aureus iron-regulated surface determinant protein B
TTDI02104;Lysine specific histone demethylase 1
TTDI02105;CD158a
TTDI02106;CD158b1
TTDI02107;Killer cell immunoglobulin-like receptor 2DL3
TTDI02109;Kruppel like factor 4
TTDI02110;Pyruvate kinase M2
TTDI02111;Lecithin-cholesterol acyltransferase
TTDI02112;Yersinia pestis virulence associated V antigen
TTDI02113;Leucine-rich repeat neuronal protein 1
TTDI02114;Epstein-Barr virus Latent membrane protein 2
TTDI02116;Lysophosphatidate-3 receptor
TTDI02118;Lysozyme
TTDI02119;MAPKAP kinase 2
TTDI02120;MART-1 melanoma antigen
TTDI02122;Mannose binding protein
TTDI02123;Melanocortin MC5 receptor
TTDI02124;Tyrosine-protein kinase MELK
TTDI02125;Mycobacterium tuberculosis membrane protein mmpL3
TTDI02126;CI Man-6-P receptor
TTDI02127;Mas-related gene 2 (MRGX2)
TTDI02129;Plasmodium falciparum merozoite surface protein 1
TTDI02131;Myosin-7
TTDI02132;Nicotinamide phosphoribosyltransferase
TTDI02133;Respiratory syncytial virus N protein
TTDI02134;Notch-2 receptor
TTDI02135;Notch-3 receptor
TTDI02136;NADPH oxidase 4
TTDI02137;Nucleophosmin
TTDI02140;TrkC receptor
TTDI02141;Nucleolin
TTDI02142;Pseudomonas PcrV protein type III
TTDI02143;Membrane glycoprotein OX2
TTDI02144;Tumor antigen NGcGM3
TTDI02145;PAK-4 protein kinase
TTDI02146;Programmed cell death ligand 2
TTDI02148;Phosphodiesterase (PDE) 9
TTDI02149;Platelet-derived growth factor D
TTDI02150;Opioid receptor sigma 2
TTDI02151;PIM-3 protein kinase
TTDI02153;Tumor expressed melanoma antigen
TTDI02154;Prominin 1
TTDI02156;Glutaminyl cyclase
TTDI02157;HIV REV protein
TTDI02159;Transforming protein RhoA
TTDI02160;Ribosome-inactivating protein alpha-trichosanthin
TTDI02161;Ring finger protein
TTDI02162;Rho associated protein kinase 2
TTDI02163;Roof plate-specific spondin 1
TTDI02164;Reticulon 4
TTDI02166;S100 calcium binding protein A4
TTDI02167;Sphingosine 1-phosphate receptor 5
TTDI02168;Zinc transporter ZIP6
TTDI02171;Semaphorin-4D
TTDI02172;Sarcoglycan gamma
TTDI02173;Sphingosine 1 phosphate lyase 1
TTDI02174;SH2 domain inositol phosphatase
TTDI02175;SLIT and NTRK-like family member 6 (SLITRK6)
TTDI02176;Survival motor neuron protein
TTDI02177;Mitochondrial manganese superoxide dismutase (MnSOD)
TTDI02179;Sphingosine kinase 1
TTDI02180;N-sulphoglucosamine sulphohydrolase
TTDI02181;SPTBN1
TTDI02182;Sequestosome-1 p62
TTDI02183;Facilitates chromatin transcription complex (FACT)
TTDI02184;STAT-3
TTDI02185;Fungi/Bacteria isoleucyl t-RNA synthetase
TTDI02186;Alpha-synuclein
TTDI02187;Valosin-containing protein p97
TTDI02188;Trefoil factor-1
TTDI02190;TGF-beta type II receptor
TTDI02191;Toll-like receptor 5
TTDI02192;Toll-like receptor 6
TTDI02193;TNF related apoptosis inducing ligand
TTDI02194;OX40 ligand
TTDI02195;Fast skeletal muscle troponin complex
TTDI02196;TNF superfamily receptor 12A
TTDI02197;Activation-inducible TNFR family receptor
TTDI02198;Lymphotoxin beta receptor
TTDI02199;CD95
TTDI02200;Tumor susceptibility gene protein 101
TTDI02201;Thrombospondin-1 ligand
TTDI02202;Tumor suppressor candidate 2
TTDI02203;DHICA oxidase
TTDI02204;Uteroglobin
TTDI02205;Utrophin
TTDI02207;Human papillomavirus E7 protein
TTDI02208;VIP 2 receptor
TTDI02209;HIV p17 matrix protein
TTDI02210;Pituitary adenylate cyclase-activating polypeptide 38
TTDI02211;Pancreatic hormone ligand
TTDI02212;HIV p24 capsid protein
TTDI02213;HIV p7 nucleocapsid protein
TTDI02214;Hepatitis C virus protein NS4B
TTDI02215;Hepatitis C virus E2 glycoprotein
TTDI02216;Melanoma-associated antigen C1
TTDI02217;Melanoma-associated antigen C2
TTDI02219;Beta-nerve growth factor
TTDI02220;Sarcoglycan alpha
TTDI02221;Wiskott-Aldrich syndrome protein
TTDI02222;ATP-binding cassette sub-family A member 4 (ABCA4)
TTDI02223;Kinetochore protein Nuf2
TTDI02224;Quinone oxidoreductase
TTDI02226;Hedgehog protein
TTDI02228;Insulin-like growth factor-1 ligand
TTDI02229;Opioid growth factor receptor
TTDI02230;Mycobacterium tuberculosis antigen complex 85A
TTDI02231;Pyruvate dehydrogenase kinase isoform 2 (PDHK2)
TTDI02233;mRNA of influenza virus Env protein
TTDI02235;mRNA of VEGF
TTDI02236;mRNA of CCR5
TTDI02237;mRNA of SYK
TTDI02239;mRNA of PLK1
TTDI02240;mRNA of ANGPTL3
TTDI02242;mRNA of ebola virus VP35
TTDI02245;mRNA of Insulin-like growth factor 1 receptor
TTDI02246;mRNA of ebola virus VP24
TTDI02248;mRNA of Transferrin
TTDI02249;mRNA of EGFR
TTDI02255;mRNA of Caspase-2
TTDI02256;mRNA of Beta 2 adrenoceptor
TTDI02257;mRNA of DMPK
TTDI02258;mRNA of NFkappaB
TTDI02259;mRNA of Ribonucleotide reductase R2 component
TTDI02260;mRNA of BCL-2
TTDI02261;mRNA of Plasma kallikrein
TTDI02262;mRNA of CYP3A4
TTDI02263;miR-34
TTDI02264;HCV MicroRNA-122 (miR-122)
TTDI02265;mRNA of C-myc binding protein
TTDI02266;mRNA of Apolipoprotein A
TTDI02267;mRNA of marburg virus nucleoprotein NP
TTDI02268;mRNA of Myc proto-oncogene protein
TTDI02269;mRNA of STMN1
TTDI02270;mRNA of Keratin 6A
TTDI02271;ALK tyrosine kinase receptor
TTDI02272;N-acetylgalactosamine 6 sulfatase
TTDI02273;Lyn tyrosine kinase
TTDI02274;MEK-2 protein kinase
TTDI02275;Hyaluronidase
TTDI02276;Src tyrosine kinase
TTDI02277;Fyn tyrosine kinase
TTDI02278;Lck tyrosine kinase
TTDI02280;Proto-oncogene c-Met
TTDI02281;Jak3 tyrosine kinase
TTDI02282;VEGF-2 receptor
TTDI02283;Erbb2 tyrosine kinase receptor
TTDI02284;Proto-oncogene B-Raf
TTDI02285;FLT3 tyrosine kinase
TTDI02286;Iduronate 2-sulfatase
TTDI02287;Proto-oncogene c-RAF
TTDI02290;Ret tyrosine kinase receptor
TTDI02291;mRNA of Transthyretin
TTDI02293;Alpha-mannosidase
TTDI02294;mRNA of Survival motor neuron protein
TTDI02295;Retinal pigment epithelium protein
TTDI02296;Interleukin-29 ligand
TTDI02297;Phosphoinositide-3 kinase beta
TTDI02298;mRNA of Nuclear factor kappa B
TTDI02299;mRNA of Insulin receptor substrate-1
TTDI02300;mRNA of Dystrophin
TTDI02301;Mitochondrial complex I
TTDI02302;CD6
TTDI02303;Lysosomal acid lipase
TTDI02304;Bacterial DNA-directed RNA polymerase beta' chain
TTDI02306;mRNA of TGF beta-2 ligand
TTDI02308;mRNA of BIRC5
TTDI02309;Hepatitis C virus non-structural protein 5A
TTDI02311;mRNA of AKT1
TTDI02312;Leukocyte proteinase-3
TTDI02313;Proto-oncogene Mas
TTDI02315;Cyclin-dependent kinase-4
TTDI02316;Cyclin-dependent kinase-6
TTDI02317;PDGF-B ligand
TTDI02318;Interleukin-5 ligand
TTDI02320;Glutamate decarboxylase 2
TTDI02321;Telomerase
TTDI02322;Aurora kinase B
TTDI02323;Keratinocyte growth factor 2
TTDI02324;Myelin basic protein
TTDI02325;mRNA of p53
TTDI02326;Chemokine receptor 3
TTDI02327;ADAM 10
TTDI02328;mRNA of Hypoxia inducible factor-1 alpha
TTDI02329;CMV 65kDa lower matrix phosphoprotein
TTDI02330;Tissue factor pathway inhibitor
TTDI02331;Melanocytes lineage-specific antigen GP100
TTDI02332;Picornavirus capsid protein VP1
TTDI02333;X-linked inhibitor of apoptosis protein
TTDI02334;Superoxide dismutase 1
TTDI02335;Interleukin-24 ligand
TTDI02336;Interleukin-23 receptor
TTDI02338;Melanoma associated antigen 1
TTDI02339;MHC class II antigen DR (HLA-DR)
TTDI02342;Gastric inhibitory polypeptide receptor
TTDI02344;mRNA of Ribonucleotide reductase R1 component
TTDI02345;Enterobacteria phage shiga like toxin II B subunit
TTDI02346;Nucleolin (aptamer)
TTDI02348;Complement C1q subcomponent
TTDI02349;Serine palmitoyltransferase
TTDI02350;Fatty acid binding protein
TTDI02351;Apolipoprotein A-IV
TTDI02352;Cadherin-11
TTDI02353;Cathepsin V
TTDI02354;Complement Factor B
TTDI02355;Complement factor I
TTDI02356;Chitinase
TTDI02357;Transcriptional repressor CTCFL
TTDI02358;Glycogen synthase kinase-3
TTDI02359;Porphobilinogen deaminase
TTDI02360;Laminin gamma-2 subunit
TTDI02361;Leukemia inhibitory factor receptor
TTDI02362;Membrane cofactor protein
TTDI02363;Neurotrophin-4 ligand
TTDI02364;D-amino acid oxidase
TTDI02365;Ras-related C3 botulinum toxin substrate 1
TTDI02366;Plasma retinol-binding protein
TTDI02368;Alanine glyoxylate aminotransferase
TTDI02369;Translationally controlled tumor protein
TTDI02370;HIV virion infectivity factor
TTDI02371;Zap70 tyrosine kinase
TTDI02372;Apoptosis regulator BAK
